App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:38:33 PM","8 min 52 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
13438,1,13531,1814200,13530,0,13535,37,
13536,1,13631,1814252,13630,0,13636,27,
13636,1,13732,1814220,13731,0,13736,27,
13737,1,13832,1814280,13831,0,13837,27,
13837,1,13934,1815452,13933,0,13943,27,
13943,1,14033,1816144,14032,0,14038,39,
14039,1,14134,1816144,14133,0,14138,27,
14138,1,14234,1816144,14233,0,14247,30,
14247,1,14335,1815728,14334,0,14339,42,
14340,1,14435,1815728,14434,0,14440,32,
14440,1,14536,1815788,14535,0,14540,30,
14540,1,14636,1815832,14635,0,14640,27,
14640,1,14736,1815892,14735,0,14741,32,
14741,1,14836,1815892,14835,0,14841,27,
14842,1,14937,1815944,14936,0,14942,27,
14942,1,15037,1815996,15036,0,15042,27,
15042,1,15137,1815848,15136,0,15142,30,
15142,1,15239,1815904,15237,0,15247,27,
15247,1,15338,1815904,15337,0,15343,27,
15343,1,15438,1815964,15437,0,15443,27,
15443,1,15539,1816024,15538,0,15543,27,
15544,1,15639,1816060,15638,0,15643,25,
15644,1,15739,1816072,15738,0,15744,27,
15744,1,15839,1816132,15839,0,15849,31,
15849,1,15943,1817404,15939,0,15947,32,
15947,1,16040,1817776,16039,0,16045,27,
16045,1,16140,1817408,16140,0,16145,27,
16146,1,16241,1817828,16240,0,16246,27,
16246,1,16341,1818200,16340,0,16346,27,
16346,1,16441,1818572,16441,0,16446,25,
16447,1,16542,1818944,16541,0,16547,30,
16547,1,16644,1819352,16642,0,16650,31,
16650,1,16742,1819300,16741,0,16753,32,
16753,1,16843,1819300,16842,0,16847,30,
16847,1,16943,1819424,16942,0,16947,25,
16948,1,17043,1819424,17042,0,17048,25,
17048,1,17143,1819424,17143,0,17148,29,
17148,1,17244,1819548,17243,0,17248,27,
17249,1,17344,1819548,17343,0,17349,30,
17349,1,17444,1819548,17443,0,17453,25,
17454,1,17546,1819248,17544,0,17550,32,
17551,1,17645,1819248,17644,0,17650,30,
17650,1,17745,1819384,17744,0,17750,27,
17750,1,17845,1819444,17845,0,17851,25,
17851,1,17946,1819568,17945,0,17950,29,
17950,1,18046,1819568,18046,0,18051,27,
18051,1,18147,1819568,18145,0,18158,27,
18159,1,18246,1819692,18246,0,18252,27,
18252,1,18297,1819452,18296,0,18301,30,
18301,1,18397,1819512,18396,0,18401,27,
18402,1,18496,1819512,18496,0,18501,31,
18501,1,18597,1819512,18596,0,18602,27,
18602,1,18698,1819636,18697,0,18703,27,
18703,1,18798,1819636,18797,0,18803,27,
18804,1,18899,1819760,18898,0,18904,27,
18905,1,18999,1819760,18998,0,19009,27,
19009,1,19099,1819760,19098,0,19104,34,
19105,1,19199,1819760,19198,0,19204,25,
19204,1,19299,1820008,19298,0,19305,49,
19305,1,19404,1820008,19404,0,19410,51,
19410,1,19505,1820132,19504,0,19511,52,
19512,1,19606,1820380,19605,0,19613,55,
19613,1,19706,1820356,19706,0,19714,48,
19714,1,19807,1820356,19806,0,19816,54,
19816,1,19907,1820416,19907,0,19913,56,
19914,1,20008,1820416,20007,0,20014,53,
20015,1,20108,1820168,20108,0,20115,54,
20115,1,20209,1820416,20208,0,20215,49,
20216,1,20310,1820788,20309,0,20317,54,
20317,1,20410,1820912,20409,0,20417,55,
20417,1,20511,1822152,20510,0,20517,50,
20517,1,20612,1822028,20611,0,20619,52,
20619,1,20713,1821824,20711,0,20719,57,
20719,1,20812,1821824,20811,0,20818,52,
20818,1,20914,1821824,20913,0,20919,54,
20919,1,21014,1821152,21013,0,21020,50,
21020,1,21115,1821152,21114,0,21120,54,
21120,1,21215,1821212,21215,0,21220,55,
21221,1,21316,1821212,21315,0,21321,27,
21321,1,21415,1821088,21415,0,21424,45,
21424,1,21516,1821036,21516,0,21522,35,
21522,1,21617,1821052,21616,0,21622,30,
21623,1,21717,1820300,21716,0,21723,27,
21724,1,21827,1820956,21826,0,21834,56,
21834,1,21927,1821328,21926,0,21933,51,
21934,1,22032,1826040,22031,0,22046,60,
22046,1,22133,1831016,22132,0,22139,79,
22140,1,22233,1831264,22232,0,22240,52,
22240,1,22336,1831284,22333,0,22341,40,
22341,1,22435,1831284,22434,0,22441,32,
22441,1,22535,1831340,22534,0,22539,25,
22540,1,22635,1831400,22634,0,22640,30,
22640,1,22736,1831416,22735,0,22740,25,
22741,1,22836,1831416,22835,0,22841,30,
22842,1,22937,1831416,22936,0,22942,25,
22942,1,23037,1831540,23036,0,23043,27,
23043,1,23137,1831264,23137,0,23142,30,
23142,1,23238,1831324,23237,0,23243,27,
23243,1,23338,1831324,23338,0,23343,30,
23343,1,23439,1831384,23438,0,23444,27,
23444,1,23540,1831508,23539,0,23544,30,
23545,1,23642,1831540,23640,0,23651,25,
23651,1,23741,1831540,23740,0,23746,27,
23746,1,23841,1831664,23840,0,23847,27,
23848,1,23943,1831188,23941,0,23947,36,
23948,1,24042,1831244,24041,0,24047,27,
24047,1,24143,1831244,24142,0,24147,27,
24147,1,24243,1831428,24242,0,24248,29,
24249,1,24343,1831428,24342,0,24348,27,
24348,1,24444,1831428,24443,0,24449,27,
24450,1,24544,1831552,24543,0,24549,25,
24550,1,24645,1831552,24644,0,24651,30,
24651,1,24745,1836356,24744,0,24751,30,
24751,1,24845,1836356,24844,0,24850,27,
24850,1,24946,1836356,24945,0,24951,30,
24951,1,25047,1836356,25046,0,25051,25,
25051,1,25147,1836356,25146,0,25152,27,
25152,1,25247,1836356,25247,0,25253,25,
25253,1,25348,1836356,25347,0,25352,30,
25353,1,25448,1836356,25448,0,25455,27,
25455,1,25552,1836232,25548,0,25557,37,
25557,1,25649,1836192,25649,0,25654,25,
25654,1,25750,1836192,25749,0,25755,30,
25756,1,25850,1836192,25850,0,25856,27,
25856,1,25951,1836252,25950,0,25956,30,
25957,1,26051,1836252,26050,0,26057,27,
26057,1,26152,1836252,26151,0,26157,29,
26157,1,26252,1836252,26251,0,26258,25,
26258,1,26353,1836324,26352,0,26357,31,
26357,1,26453,1836324,26452,0,26458,27,
26458,1,26554,1836384,26553,0,26558,30,
26558,1,26654,1835260,26653,0,26659,56,
26659,1,26754,1835260,26753,0,26760,34,
26760,1,26855,1835260,26854,0,26861,29,
26861,1,26956,1835260,26955,0,26968,25,
26968,1,27056,1835260,27055,0,27062,29,
27062,1,27157,1834764,27156,0,27162,35,
27163,1,27257,1834764,27256,0,27263,32,
27263,1,27358,1833988,27357,0,27363,27,
27363,1,27458,1834108,27457,0,27463,29,
27463,1,27559,1834232,27558,0,27564,30,
27564,1,27659,1834356,27658,0,27665,27,
27665,1,27760,1834604,27759,0,27767,25,
27768,1,27860,1834692,27859,0,27866,30,
27867,1,27961,1834700,27960,0,27965,30,
27966,1,28061,1834700,28060,0,28065,31,
28066,1,28161,1834760,28160,0,28166,25,
28166,1,28262,1834760,28261,0,28266,30,
28267,1,28362,1834884,28361,0,28367,27,
28367,1,28463,1834884,28462,0,28468,25,
28468,1,28565,1834884,28563,0,28574,29,
28574,1,28664,1834984,28663,0,28671,27,
28671,1,28766,1834548,28763,0,28771,34,
28771,1,28865,1834548,28864,0,28869,27,
28870,1,28965,1834608,28964,0,28970,31,
28970,1,29066,1834608,29065,0,29071,32,
