App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 03:10:02 PM","38 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
13441,1,13534,1712352,13533,0,13546,6,
13546,1,13634,1712856,13633,0,13638,17,
13639,1,13736,1712916,13734,0,13743,5,
13743,1,13841,1713080,13839,0,13856,3,
13856,1,13937,1712984,13936,0,13944,6,
13944,1,14038,1712984,14037,0,14045,3,
14045,1,14139,1712984,14138,0,14149,4,
14149,1,14240,1713060,14239,0,14246,1,
14246,1,14341,1713060,14340,0,14347,4,
14348,1,14443,1713420,14440,0,14452,6,
14452,1,14542,1711460,14541,0,14549,9,
14550,1,14643,1711100,14641,0,14647,10,
14647,1,14743,1711100,14742,0,14750,0,
14751,1,14845,1711100,14844,0,14852,2,
14853,1,14945,1710780,14944,0,14949,3,
14949,1,15045,1710592,15044,0,15050,7,
15051,1,15147,1710652,15146,0,15153,3,
15154,1,15248,1710676,15247,0,15256,1,
15256,1,15352,1710792,15347,0,15371,4,
15371,1,15450,1710584,15448,0,15457,7,
15457,1,15550,1710584,15549,0,15557,3,
15558,1,15651,1710584,15650,0,15658,3,
15658,1,15751,1710636,15750,0,15759,3,
15759,1,15853,1710376,15851,0,15860,3,
15860,1,15904,1710484,15902,0,15909,6,
15909,1,16007,1710648,16003,0,16016,4,
16016,1,16109,1710384,16105,0,16117,11,
16117,1,16206,1710436,16204,0,16212,3,
16213,1,16307,1710448,16305,0,16313,4,
16314,1,16407,1710508,16406,0,16417,1,
16417,1,16508,1710508,16507,0,16516,6,
16516,1,16609,1710568,16607,0,16616,4,
16616,1,16709,1710628,16708,0,16718,2,
16718,1,16810,1710628,16809,0,16819,5,
16821,1,16911,1710600,16910,0,16919,6,
16919,1,17011,1710600,17010,0,17018,6,
17018,1,17113,1710652,17112,0,17122,3,
17122,1,17216,1710708,17213,0,17233,4,
17233,1,17314,1710668,17313,0,17321,3,
17322,1,17416,1710720,17414,0,17424,4,
17424,1,17515,1710652,17514,0,17521,13,
17521,1,17616,1710832,17615,0,17620,28,
17620,1,17717,1710964,17716,0,17723,9,
17724,1,17818,1711016,17817,0,17824,3,
17825,1,17919,1711076,17918,0,17925,5,
17926,1,18019,1711064,18018,0,18025,11,
18025,1,18119,1711268,18118,0,18127,28,
18127,1,18222,1711452,18220,0,18233,13,
18233,1,18323,1711436,18320,0,18347,14,
18347,1,18421,1711424,18420,0,18427,46,
18428,1,18521,1711536,18521,0,18526,14,
18526,1,18623,1711536,18622,0,18630,8,
18630,1,18724,1711596,18723,0,18730,3,
18731,1,18825,1711656,18824,0,18831,3,
18832,1,18926,1711716,18924,0,18936,4,
18936,1,19026,1711716,19025,0,19037,4,
19037,1,19129,1711356,19125,0,19135,13,
19136,1,19228,1711408,19227,0,19234,1,
19234,1,19329,1711392,19327,0,19335,3,
19335,1,19429,1711460,19428,0,19436,3,
19436,1,19530,1711520,19529,0,19537,4,
19537,1,19631,1711300,19630,0,19638,7,
19639,1,19734,1711300,19731,0,19748,10,
19748,1,19832,1711404,19831,0,19842,24,
19842,1,19933,1711204,19931,0,19941,36,
19941,1,20033,1711388,20032,0,20046,26,
20047,1,20134,1711448,20133,0,20145,28,
20145,1,20234,1711548,20233,0,20246,24,
20247,1,20336,1711532,20334,0,20351,22,
20351,1,20436,1711780,20434,0,20448,30,
20448,1,20537,1711824,20535,0,20552,34,
20552,1,20637,1713764,20636,0,20645,58,
20645,1,20739,1716116,20737,0,20750,48,
20750,1,20838,1719848,20837,0,20850,54,
20850,1,20939,1721792,20937,0,20946,51,
20946,1,21039,1721376,21037,0,21048,30,
21048,1,21140,1721428,21139,0,21147,26,
21147,1,21240,1722192,21239,0,21250,25,
21250,1,21340,1722200,21339,0,21347,26,
21348,1,21445,1722200,21441,0,21467,33,
21468,1,21541,1722260,21540,0,21547,41,
21548,1,21645,1722260,21642,0,21658,32,
21659,1,21743,1722260,21742,0,21749,27,
21749,1,21848,1722260,21845,0,21863,25,
21864,1,21944,1722632,21943,0,21952,28,
21952,1,22044,1722516,22043,0,22051,37,
22052,1,22144,1721868,22143,0,22149,45,
22149,1,22245,1726044,22244,0,22250,35,
22250,1,22348,1727808,22346,0,22361,26,
22363,1,22446,1727808,22445,0,22453,22,
22453,1,22547,1727896,22545,0,22557,21,
22558,1,22648,1727896,22646,0,22674,34,
22674,1,22747,1728020,22746,0,22763,59,
22763,1,22847,1727536,22846,0,22860,56,
22860,1,22948,1727908,22947,0,22959,33,
22960,1,23052,1728032,23050,0,23063,18,
