App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 02:49:33 PM","1 min 31 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
8,0,1,1866684,0,0,7,0,
109,0,103,1870452,102,0,109,63,
211,0,204,1870452,203,0,211,2,
313,0,306,1870664,304,0,313,13,
410,0,405,1871344,404,0,409,24,
510,0,505,1871644,504,0,510,27,
611,0,606,1872000,605,0,610,29,
712,0,706,1872240,706,0,712,27,
812,0,807,1872084,806,0,812,34,
912,0,907,1872384,906,0,912,30,
1013,0,1008,1872744,1007,0,1012,27,
1113,0,1108,1872796,1108,0,1113,32,
1214,0,1209,1873136,1208,0,1213,25,
1315,0,1310,1874240,1309,0,1314,26,
1417,0,1410,1869856,1409,0,1417,43,
1485,1,1511,1870244,1509,0,1516,45,
1516,1,1611,1871056,1611,0,1617,25,
1617,1,1711,1871156,1711,0,1719,43,
1719,1,1812,1871388,1811,0,1824,50,
1825,1,1913,1870228,1912,0,1923,53,
1924,1,2014,1870408,2013,0,2023,50,
2023,1,2114,1869720,2113,0,2125,44,
2125,1,2215,1869832,2214,0,2225,45,
2225,1,2320,1870092,2314,0,2331,50,
2332,1,2417,1869684,2415,0,2426,52,
2426,1,2517,1869684,2516,0,2526,47,
2526,1,2616,1869916,2616,0,2627,45,
2627,1,2718,1870640,2716,0,2727,47,
2728,1,2820,1871948,2818,0,2828,50,
2829,1,2920,1867972,2919,0,2928,32,
2928,1,3021,1867972,3020,0,3029,24,
3030,1,3122,1867816,3120,0,3128,30,
3128,1,3222,1867768,3221,0,3238,24,
3238,1,3323,1864116,3322,0,3371,95,
3371,1,3428,1866424,3425,0,3438,97,
3438,1,3528,1868340,3526,0,3541,100,
3541,1,3629,1870252,3627,0,3643,95,
3648,1,3729,1870588,3728,0,3747,100,
3748,1,3830,1872532,3828,0,3841,95,
3844,1,3930,1873648,3929,0,3938,81,
3938,1,4030,1874368,4029,0,4040,84,
4041,1,4130,1874620,4129,0,4141,76,
4141,1,4234,1875612,4232,0,4243,44,
4243,1,4335,1876044,4334,0,4342,30,
4342,1,4434,1876292,4433,0,4440,20,
4440,1,4536,1876416,4534,0,4543,8,
4543,1,4637,1876416,4636,0,4644,3,
4644,1,4737,1877716,4736,0,4743,19,
4743,1,4837,1880072,4836,0,4843,36,
4843,1,4938,1881344,4937,0,4943,45,
4943,1,5039,1882028,5038,0,5048,50,
5048,1,5139,1881112,5138,0,5147,37,
5148,1,5240,1881228,5239,0,5245,36,
5245,1,5340,1881324,5339,0,5348,3,
5349,1,5442,1881324,5441,0,5450,9,
5451,1,5542,1881376,5541,0,5550,5,
5551,1,5643,1881436,5642,0,5651,5,
5652,1,5744,1881556,5743,0,5752,2,
5752,1,5845,1881556,5843,0,5856,5,
5856,1,5946,1881712,5944,0,5967,25,
5968,1,6046,1881768,6045,0,6057,33,
6057,1,6146,1882068,6145,0,6154,55,
