App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 02:52:43 PM","1 min 30 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
13396,1,13490,1866204,13489,0,13494,30,
13495,1,13591,1866436,13590,0,13596,29,
13596,1,13691,1866724,13690,0,13696,27,
13696,1,13792,1866936,13791,0,13797,27,
13797,1,13892,1867164,13891,0,13900,30,
13900,1,13992,1866904,13992,0,13997,43,
13998,1,14093,1867144,14092,0,14097,25,
14097,1,14194,1867264,14193,0,14199,29,
14199,1,14294,1867680,14293,0,14300,30,
14301,1,14396,1868176,14394,0,14401,23,
14402,1,14496,1864548,14495,0,14501,22,
14501,1,14597,1864600,14596,0,14606,3,
14607,1,14698,1864024,14697,0,14703,9,
14703,1,14798,1864848,14797,0,14803,25,
14803,1,14898,1865248,14898,0,14903,32,
14903,1,14999,1865292,14998,0,15004,26,
15004,1,15099,1865512,15099,0,15104,27,
15104,1,15200,1865848,15199,0,15204,29,
15205,1,15300,1865904,15299,0,15306,25,
15307,1,15401,1866424,15400,0,15409,30,
15409,1,15502,1866336,15501,0,15506,38,
15506,1,15602,1866336,15601,0,15608,29,
15608,1,15703,1867300,15702,0,15708,29,
15708,1,15804,1868488,15802,0,15811,26,
15811,1,15904,1864544,15903,0,15908,7,
15908,1,16005,1864436,16004,0,16013,8,
16013,1,16105,1865232,16104,0,16111,26,
16111,1,16206,1865208,16205,0,16211,30,
16211,1,16308,1865388,16306,0,16315,29,
16315,1,16407,1865660,16406,0,16411,25,
16412,1,16507,1865828,16506,0,16513,27,
16513,1,16607,1865940,16607,0,16613,32,
16613,1,16708,1866448,16707,0,16714,34,
16714,1,16809,1866504,16808,0,16814,25,
16814,1,16910,1866544,16908,0,16917,34,
16918,1,17010,1866512,17009,0,17015,27,
17015,1,17111,1867132,17110,0,17116,26,
17116,1,17211,1863628,17210,0,17217,18,
17217,1,17317,1863628,17314,0,17325,3,
17326,1,17414,1863800,17412,0,17421,8,
17421,1,17514,1864716,17513,0,17519,36,
17519,1,17614,1865060,17613,0,17621,27,
17621,1,17718,1864956,17714,0,17723,32,
17723,1,17815,1865188,17815,0,17820,31,
17820,1,17916,1865348,17915,0,17920,30,
17921,1,18016,1865500,18016,0,18021,27,
18021,1,18117,1865904,18116,0,18121,25,
18122,1,18218,1865904,18217,0,18222,27,
18223,1,18318,1866152,18317,0,18323,27,
18323,1,18424,1867268,18418,0,18444,34,
18445,1,18519,1867796,18518,0,18526,32,
18527,1,18620,1863852,18619,0,18627,10,
18627,1,18721,1864024,18720,0,18728,7,
18729,1,18821,1864700,18820,0,18826,28,
18827,1,18922,1864916,18921,0,18926,27,
18927,1,19023,1865116,19022,0,19028,27,
19028,1,19124,1865404,19122,0,19130,27,
19130,1,19225,1865368,19223,0,19232,35,
19232,1,19324,1865528,19323,0,19329,27,
19329,1,19425,1866004,19424,0,19429,33,
19430,1,19526,1866004,19525,0,19530,27,
19531,1,19626,1866004,19625,0,19631,25,
19631,1,19727,1866872,19726,0,19731,27,
19732,1,19827,1867616,19826,0,19833,26,
19834,1,19928,1863772,19927,0,19939,11,
19940,1,20029,1863784,20028,0,20037,12,
20037,1,20129,1864016,20129,0,20134,8,
20134,1,20229,1864828,20229,0,20234,27,
20234,1,20330,1864948,20329,0,20336,27,
20336,1,20431,1865304,20430,0,20437,31,
20437,1,20532,1865364,20531,0,20536,32,
20537,1,20632,1865596,20632,0,20638,25,
20638,1,20734,1865456,20733,0,20739,34,
20740,1,20833,1865816,20832,0,20838,25,
20838,1,20935,1865816,20933,0,20940,30,
20940,1,21035,1865916,21034,0,21039,27,
21040,1,21135,1866524,21135,0,21141,30,
21142,1,21236,1863712,21235,0,21241,24,
21241,1,21338,1863832,21336,0,21346,4,
21346,1,21438,1864248,21436,0,21458,31,
21458,1,21538,1865912,21537,0,21544,95,
21545,1,21639,1866120,21638,0,21647,100,
21647,1,21740,1867272,21739,0,21745,47,
21746,1,21841,1867396,21840,0,21846,34,
21846,1,21942,1867720,21941,0,21947,27,
21947,1,22042,1867852,22041,0,22047,30,
22047,1,22142,1868100,22141,0,22148,29,
22148,1,22245,1867964,22242,0,22250,32,
22250,1,22344,1868260,22343,0,22348,27,
22348,1,22444,1869376,22443,0,22449,30,
22449,1,22544,1866840,22544,0,22549,28,
22550,1,22646,1866536,22645,0,22653,3,
22654,1,22747,1866588,22746,0,22754,3,
22754,1,22847,1866904,22846,0,22853,13,
22854,1,22947,1867648,22946,0,22953,35,
22953,1,23048,1867556,23047,0,23053,32,
23053,1,23148,1867800,23148,0,23153,25,
23153,1,23249,1867924,23248,0,23253,32,
23254,1,23349,1868172,23349,0,23357,27,
23358,1,23450,1868296,23449,0,23455,27,
23455,1,23550,1868544,23549,0,23557,30,
23557,1,23651,1868564,23650,0,23656,32,
23658,1,23754,1869172,23751,0,23759,32,
23759,1,23852,1869916,23851,0,23857,30,
23857,1,23953,1866412,23952,0,23957,17,
23958,1,24054,1867212,24053,0,24059,27,
24059,1,24154,1867672,24153,0,24159,29,
24159,1,24255,1867796,24254,0,24259,27,
24260,1,24356,1868044,24355,0,24360,31,
24360,1,24458,1868168,24455,0,24467,27,
24468,1,24557,1868172,24556,0,24562,32,
24562,1,24656,1868668,24656,0,24663,32,
24663,1,24758,1868668,24757,0,24763,27,
24764,1,24858,1868652,24857,0,24863,29,
24864,1,24959,1869528,24958,0,24965,30,
24965,1,25059,1870388,25058,0,25065,29,
25065,1,25160,1871752,25160,0,25172,82,
25173,1,25262,1872552,25261,0,25276,76,
25276,1,25363,1868584,25362,0,25373,50,
25373,1,25465,1869472,25463,0,25473,56,
25474,1,25564,1869696,25563,0,25570,33,
25570,1,25665,1869696,25664,0,25669,27,
25669,1,25766,1869696,25764,0,25772,30,
25772,1,25866,1869684,25865,0,25871,27,
25872,1,25967,1869876,25966,0,25972,29,
25973,1,26067,1870000,26066,0,26072,31,
26072,1,26168,1870000,26167,0,26173,27,
26173,1,26269,1869752,26267,0,26274,27,
26275,1,26370,1870620,26368,0,26376,34,
26376,1,26469,1871228,26468,0,26476,30,
26476,1,26570,1867944,26569,0,26575,21,
26575,1,26671,1867956,26670,0,26679,6,
26681,1,26774,1868092,26771,0,26786,7,
26787,1,26872,1868200,26872,0,26879,26,
26879,1,26974,1868208,26973,0,26981,2,
26981,1,27075,1868268,27074,0,27082,1,
27082,1,27176,1868268,27175,0,27183,4,
27183,1,27285,1868320,27277,0,27298,4,
27299,1,27379,1868372,27377,0,27386,9,
27387,1,27480,1868564,27477,0,27490,3,
27492,1,27580,1868476,27579,0,27586,9,
27587,1,27681,1868476,27680,0,27687,3,
27687,1,27731,1868536,27730,0,27741,3,
27741,1,27831,1868596,27830,0,27838,5,
27838,1,27932,1868600,27931,0,27938,6,
27939,1,28032,1868600,28031,0,28038,5,
28039,1,28133,1868660,28132,0,28140,2,
28140,1,28236,1868352,28232,0,28242,8,
28243,1,28334,1868412,28333,0,28340,5,
28340,1,28437,1868760,28435,0,28443,9,
28443,1,28535,1869240,28534,0,28543,39,
28543,1,28635,1869612,28634,0,28643,37,
28644,1,28736,1871628,28735,0,28748,68,
28749,1,28837,1872056,28835,0,28844,61,
28844,1,28936,1872492,28936,0,28943,32,
28944,1,29039,1872756,29038,0,29043,26,
29043,1,29138,1872808,29137,0,29147,26,
29147,1,29237,1872868,29236,0,29241,15,
29242,1,29337,1872868,29337,0,29343,10,
29344,1,29438,1872992,29437,0,29443,2,
29443,1,29538,1872992,29537,0,29543,2,
29543,1,29638,1872992,29637,0,29644,4,
29644,1,29742,1872916,29738,0,29746,7,
29747,1,29839,1872916,29838,0,29843,0,
29844,1,29939,1873036,29938,0,29944,4,
29944,1,30039,1873020,30038,0,30044,2,
30045,1,30139,1873080,30139,0,30144,2,
30144,1,30240,1873080,30239,0,30244,6,
30245,1,30340,1873140,30339,0,30345,0,
30345,1,30441,1873264,30440,0,30450,4,
30451,1,30541,1872312,30540,0,30546,12,
30546,1,30642,1872364,30640,0,30650,10,
30650,1,30742,1872364,30740,0,30747,13,
30747,1,30842,1872364,30841,0,30847,0,
30848,1,30942,1872552,30941,0,30946,4,
30946,1,31042,1872552,31041,0,31047,2,
31047,1,31142,1872480,31142,0,31147,4,
31148,1,31245,1872148,31242,0,31249,5,
31249,1,31343,1872204,31342,0,31347,2,
31347,1,31443,1872216,31442,0,31447,2,
31447,1,31544,1871844,31543,0,31550,4,
31551,1,31646,1871900,31645,0,31656,1,
31656,1,31746,1871464,31745,0,31752,4,
31753,1,31847,1871644,31846,0,31854,3,
31855,1,31948,1871784,31947,0,31962,6,
31962,1,32048,1871640,32047,0,32055,7,
32055,1,32149,1871640,32148,0,32156,1,
32157,1,32250,1871640,32249,0,32256,3,
32257,1,32351,1871696,32349,0,32357,1,
32358,1,32452,1871756,32451,0,32458,4,
32459,1,32555,1871756,32552,0,32569,1,
32569,1,32653,1871816,32652,0,32661,4,
32661,1,32755,1871564,32752,0,32762,8,
32762,1,32854,1871564,32853,0,32861,3,
32861,1,32954,1871604,32953,0,32958,4,
32959,1,33056,1871580,33055,0,33062,1,
33062,1,33156,1871640,33155,0,33163,4,
33163,1,33257,1871700,33256,0,33264,4,
33264,1,33359,1871700,33357,0,33370,3,
33371,1,33459,1871760,33458,0,33467,3,
33468,1,33560,1871620,33558,0,33566,6,
33566,1,33660,1871680,33659,0,33666,3,
33667,1,33761,1874588,33760,0,33766,17,
33766,1,33862,1871236,33861,0,33869,15,
33869,1,33963,1871320,33962,0,33970,3,
33970,1,34064,1871308,34063,0,34072,1,
34073,1,34167,1871364,34165,0,34178,4,
34179,1,34265,1871420,34264,0,34277,4,
34277,1,34369,1871112,34365,0,34373,10,
34374,1,34467,1871112,34466,0,34474,2,
34474,1,34568,1871172,34567,0,34577,3,
34577,1,34669,1871232,34668,0,34676,0,
34676,1,34770,1871292,34769,0,34776,4,
34777,1,34870,1871292,34869,0,34874,4,
34875,1,34972,1871388,34970,0,34978,2,
34978,1,35076,1871416,35072,0,35094,1,
35094,1,35173,1871216,35172,0,35178,10,
35178,1,35275,1871216,35273,0,35281,4,
35281,1,35376,1871272,35374,0,35380,3,
35381,1,35476,1871332,35475,0,35482,2,
35483,1,35577,1871392,35575,0,35583,3,
35583,1,35677,1871392,35676,0,35684,3,
35684,1,35778,1871452,35777,0,35787,4,
35787,1,35882,1871152,35878,0,35886,9,
35886,1,35983,1871124,35980,0,35996,3,
35997,1,36081,1871104,36080,0,36088,4,
36088,1,36182,1871164,36181,0,36188,4,
36189,1,36283,1871224,36282,0,36289,1,
36289,1,36383,1871284,36382,0,36390,3,
36390,1,36484,1871280,36483,0,36490,3,
36491,1,36585,1871340,36584,0,36595,1,
36595,1,36686,1871252,36685,0,36693,6,
36694,1,36786,1871376,36785,0,36792,18,
36792,1,36886,1871760,36885,0,36894,20,
36894,1,36987,1871252,36986,0,36993,12,
36993,1,37089,1871364,37088,0,37097,1,
37097,1,37190,1871528,37189,0,37197,3,
37198,1,37292,1871640,37289,0,37302,3,
37302,1,37391,1871752,37390,0,37396,21,
37397,1,37492,1871676,37491,0,37497,24,
37497,1,37593,1871736,37592,0,37598,9,
37599,1,37695,1871632,37693,0,37706,16,
37706,1,37796,1871632,37794,0,37818,36,
37818,1,37896,1871752,37894,0,37903,31,
37903,1,37997,1871812,37994,0,38010,25,
38010,1,38097,1871924,38096,0,38119,37,
38119,1,38199,1871788,38196,0,38207,32,
38208,1,38303,1871788,38302,0,38310,29,
38311,1,38403,1871844,38402,0,38410,33,
38410,1,38503,1871848,38502,0,38510,32,
38510,1,38604,1871848,38603,0,38611,29,
38611,1,38705,1871900,38704,0,38724,25,
38724,1,38804,1871900,38803,0,38813,35,
38813,1,38905,1871816,38904,0,38911,40,
38911,1,39005,1871816,39004,0,39012,32,
39012,1,39106,1871824,39105,0,39113,29,
39113,1,39206,1871880,39205,0,39217,28,
39218,1,39307,1871880,39305,0,39315,26,
39315,1,39408,1871880,39406,0,39414,36,
39414,1,39507,1871932,39506,0,39519,26,
39520,1,39608,1872044,39607,0,39626,29,
39626,1,39708,1871908,39707,0,39719,37,
39720,1,39809,1872012,39808,0,39819,33,
39819,1,39908,1872000,39908,0,39915,25,
39916,1,40010,1872060,40008,0,40019,30,
40019,1,40109,1872120,40108,0,40119,31,
40119,1,40210,1872172,40209,0,40221,27,
40221,1,40310,1872120,40309,0,40323,26,
40324,1,40412,1871964,40410,0,40420,39,
40421,1,40512,1871964,40510,0,40524,27,
40524,1,40611,1871964,40610,0,40621,32,
40621,1,40712,1872136,40711,0,40719,44,
40720,1,40812,1872136,40811,0,40821,22,
40821,1,40915,1872240,40912,0,40925,31,
40925,1,41014,1872240,41012,0,41020,20,
41021,1,41114,1872240,41113,0,41122,10,
41123,1,41214,1872084,41213,0,41221,8,
41221,1,41315,1872084,41314,0,41322,9,
41322,1,41418,1871984,41416,0,41429,17,
41429,1,41517,1872036,41516,0,41527,12,
41527,1,41620,1871984,41617,0,41628,6,
41628,1,41722,1871984,41719,0,41733,6,
41733,1,41821,1872100,41819,0,41830,30,
41830,1,41919,1872116,41918,0,41926,33,
