App,Package,Start Time,Duration,Filename
"System",,"Jun 4, 2018 @ 03:36:36 PM","27 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11,0,2,1851796,0,0,10,0,
59,0,51,1848896,50,0,59,24,
159,0,152,1849124,150,0,158,8,
259,0,252,1849944,251,0,259,18,
357,0,352,1850124,351,0,357,33,
458,0,453,1850356,452,0,457,29,
558,0,553,1850652,552,0,557,27,
659,0,654,1850888,653,0,659,27,
761,0,754,1851036,753,0,761,30,
860,0,855,1851580,854,0,860,27,
961,0,955,1851880,954,0,960,30,
1061,0,1056,1851932,1055,0,1061,27,
1162,0,1156,1852396,1156,0,1161,29,
1270,0,1257,1852644,1256,0,1270,25,
1361,0,1357,1849164,1356,0,1361,46,
1464,0,1458,1849112,1457,0,1463,13,
1563,0,1558,1849316,1557,0,1563,21,
1633,1,1662,1849964,1658,0,1675,67,
1676,1,1760,1850140,1758,0,1769,58,
1770,1,1861,1849212,1860,0,1870,54,
1870,1,1963,1849388,1961,0,1970,45,
1971,1,2063,1849448,2062,0,2071,46,
2072,1,2165,1849628,2163,0,2172,44,
2172,1,2266,1849808,2265,0,2275,46,
2275,1,2366,1849540,2365,0,2372,61,
2373,1,2468,1849600,2465,0,2480,46,
2480,1,2568,1849660,2567,0,2574,47,
2575,1,2668,1850008,2667,0,2675,48,
2676,1,2769,1850980,2767,0,2779,48,
2780,1,2870,1850732,2869,0,2879,44,
2879,1,2970,1847780,2969,0,2978,30,
2978,1,3071,1847832,3069,0,3085,25,
3086,1,3171,1847728,3170,0,3180,28,
3180,1,3273,1843924,3272,0,3316,54,
3316,1,3372,1846100,3371,0,3388,100,
3389,1,3479,1850192,3478,0,3486,93,
3486,1,3577,1852044,3575,0,3585,80,
3586,1,3678,1852560,3677,0,3691,48,
3691,1,3782,1852492,3781,0,3817,77,
3817,1,3884,1854400,3882,0,3898,100,
3899,1,3985,1855640,3985,0,3991,88,
3991,1,4086,1856320,4085,0,4091,41,
4091,1,4187,1857064,4186,0,4192,44,
4192,1,4287,1856940,4286,0,4295,36,
4295,1,4389,1857064,4387,0,4400,29,
4401,1,4490,1857064,4488,0,4498,6,
4498,1,4593,1857004,4589,0,4606,10,
4607,1,4690,1859348,4689,0,4697,35,
4697,1,4790,1860712,4789,0,4797,34,
4797,1,4891,1861812,4891,0,4899,45,
4899,1,4992,1861664,4991,0,5001,43,
5002,1,5093,1862220,5092,0,5102,63,
5102,1,5192,1862220,5192,0,5197,17,
5198,1,5294,1858336,5293,0,5303,3,
5304,1,5396,1857996,5393,0,5407,9,
5407,1,5495,1857996,5493,0,5503,4,
5503,1,5596,1858056,5595,0,5602,3,
5603,1,5697,1858192,5695,0,5704,3,
5704,1,5796,1858192,5795,0,5802,10,
5802,1,5899,1858276,5897,0,5917,16,
5917,1,5998,1858380,5997,0,6005,36,
6005,1,6103,1858448,6099,0,6132,18,
6133,1,6201,1858456,6200,0,6208,30,
6208,1,6302,1858580,6301,0,6307,13,
6308,1,6403,1858636,6401,0,6410,8,
6410,1,6503,1858512,6502,0,6510,6,
6511,1,6604,1858572,6603,0,6615,4,
6615,1,6704,1858760,6703,0,6709,5,
6710,1,6806,1858760,6805,0,6816,5,
6816,1,6906,1858456,6905,0,6910,7,
6911,1,7007,1858456,7006,0,7013,3,
