App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 07:36:30 PM","40 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
6018,310000,6019,0,6020,60,6021,1209600,6023,1209600,6030,63,6031,1209600,6031,1209600,
6119,310000,6121,0,6124,63,6124,1209600,6125,1209600,6132,62,6132,1209600,6133,1209600,
6219,310000,6220,0,6221,55,6222,1209600,6222,1209600,6227,55,6228,1209600,6228,1209600,
6320,310000,6321,0,6322,53,6323,1209600,6323,1209600,6329,55,6329,1209600,6330,1209600,
6420,310000,6421,0,6422,60,6423,1209600,6423,1209600,6428,57,6429,1209600,6429,1209600,
6521,310000,6522,0,6523,51,6523,1209600,6524,1209600,6527,50,6528,1209600,6528,1209600,
6622,310000,6623,0,6624,52,6624,1209600,6625,1209600,6630,52,6631,1209600,6631,1209600,
6722,310000,6723,0,6724,54,6724,1209600,6724,1209600,6729,54,6729,1209600,6730,1209600,
6823,310000,6823,0,6824,55,6825,1209600,6825,1209600,6830,57,6831,1209600,6831,1209600,
6923,310000,6924,0,6925,57,6925,1209600,6926,1209600,6932,56,6933,1209600,6933,1209600,
7024,310000,7024,0,7025,53,7026,1209600,7027,1209600,7031,51,7032,1209600,7033,1209600,
7124,310000,7125,0,7126,52,7126,1209600,7127,1209600,7133,50,7133,1209600,7134,1209600,
7225,310000,7225,0,7227,51,7227,1209600,7227,1209600,7233,52,7233,1209600,7234,1209600,
7325,310000,7326,0,7327,55,7327,1209600,7328,1209600,7334,53,7335,1209600,7335,1209600,
7426,310000,7427,0,7428,52,7429,1209600,7429,1209600,7434,52,7435,1209600,7435,1209600,
7527,310000,7527,0,7528,67,7529,1209600,7530,1209600,7536,67,7536,1209600,7537,1209600,
7627,310000,7628,0,7629,64,7629,1209600,7630,1209600,7635,63,7636,1209600,7636,1209600,
7728,310000,7728,0,7729,55,7730,1209600,7730,1209600,7735,55,7736,1209600,7736,1209600,
7828,310000,7829,0,7830,53,7831,1209600,7831,1209600,7835,52,7836,1209600,7836,1209600,
7929,310000,7930,0,7931,59,7932,1209600,7932,1209600,7937,61,7938,1209600,7938,1209600,
8030,310000,8031,0,8032,52,8033,1209600,8033,1209600,8041,52,8041,1209600,8041,1209600,
8130,310000,8131,0,8132,57,8133,1209600,8134,1209600,8139,57,8139,1209600,8140,1209600,
8231,310000,8232,0,8233,53,8234,1209600,8234,1209600,8239,52,8240,1209600,8240,1209600,
8332,310000,8332,0,8333,46,8334,1209600,8334,1209600,8338,45,8339,1209600,8339,1209600,
8432,310000,8433,0,8434,25,8435,1209600,8435,1209600,8439,25,8440,1209600,8440,1209600,
8533,310000,8534,0,8535,27,8535,1209600,8535,1209600,8540,29,8540,1209600,8541,1209600,
8633,310000,8634,0,8635,40,8635,1209600,8635,1209600,8639,38,8640,1209600,8640,1209600,
8734,310000,8735,0,8736,30,8736,1209600,8737,1209600,8741,29,8741,1209600,8742,1209600,
8834,310000,8835,0,8836,40,8836,1209600,8836,1209600,8842,41,8843,1209600,8843,1209600,
8935,310000,8935,0,8936,30,8937,1209600,8937,1209600,8941,27,8941,1209600,8942,1209600,
9035,310000,9036,0,9037,29,9038,1209600,9038,1209600,9042,29,9043,1209600,9043,1209600,
9136,310000,9137,0,9138,27,9138,1209600,9138,1209600,9143,27,9143,1209600,9143,1209600,
9236,310000,9237,0,9238,41,9239,1209600,9239,1209600,9243,43,9244,1209600,9244,1209600,
9338,310000,9338,0,9339,36,9340,1209600,9340,1209600,9345,34,9345,1209600,9346,1209600,
9438,400000,9439,0,9440,27,9441,1209600,9441,1209600,9446,27,9446,1209600,9447,1209600,
9539,310000,9540,0,9541,28,9541,1209600,9541,1209600,9545,27,9546,1209600,9546,1209600,
9640,310000,9641,0,9642,29,9642,1209600,9642,1209600,9647,29,9647,1209600,9648,1209600,
9740,310000,9741,0,9742,32,9742,1209600,9743,1209600,9747,32,9747,1209600,9747,1209600,
9840,310000,9841,0,9842,40,9842,1209600,9843,1209600,9847,39,9847,1209600,9847,1209600,
9941,310000,9942,0,9943,34,9943,998400,9944,998400,9949,33,9949,998400,9950,998400,
10042,310000,10042,0,10043,42,10043,1209600,10044,1209600,10048,38,10048,1209600,10049,1209600,
